"providerName","providerType","modelId","displayName","productCategory","billingType","prices","modelTpm","modelRpm","description","sortOrder","experienceEnabled","routeId","tenantIds","r_modelTpm","r_modelRpm","r_tenants","r_routeId"
"dt_provider_up_pos_01","anthropic","a","pos_a","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","pos a","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_02","chatgpt","ab","pos_ab","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","pos ab","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_03","cursor","normal-model-id","pos_normal","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","pos normal","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_04","dashscope","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa","pos_63","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","pos 63","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_05","deepseek","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa","pos_64","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","pos 64","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_06","gemini","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa","pos_127","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","pos 127","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_07","groq","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa","pos_128","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","pos 128","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_08","minimax","pos-dn-min","x","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","pos dn min","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_09","moonshot","pos-dn-normal","NormalDisplayName","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":0.010,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","pos dn normal","1","disabled","null","[]","10","10","[]","null"
"dt_provider_up_pos_10","ollama","price-max6","pos-price-max6","standard","token","[{""tokenPriceUnit"":""per_million"",""inputPrice"":999999,""outputPrice"":0.010,""cacheWritePrice"":0.010,""cacheReadPrice"":0.010,""unitPrice"":null}]","10","10","price max6","1","disabled","null","[]","10","10","[]","null"
