providerName,providerType,modelId,displayName,tags
dt_provider_pos_01,anthropic,a,pos_a,"[""text""]"
dt_provider_pos_02,chatgpt,ab,pos_ab,"[""text""]"
dt_provider_pos_03,cursor,normal-model-id,pos_normal,"[""text""]"
dt_provider_pos_04,dashscope,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,pos_63,"[""text""]"
dt_provider_pos_05,deepseek,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,pos_64,"[""text""]"
dt_provider_pos_06,gemini,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,pos_127,"[""text""]"
dt_provider_pos_07,groq,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,pos_128,"[""text""]"
dt_provider_pos_08,minimax,pos-dn-min,x,"[""text""]"
dt_provider_pos_09,moonshot,pos-dn-normal,NormalDisplayName,"[""text""]"
dt_provider_pos_10,ollama,pos-dn-127,ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,"[""text""]"
dt_provider_pos_11,openai,pos-dn-128,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,"[""text""]"
dt_provider_pos_12,openrouter,pos-uni,caf?,"[""text""]"
dt_provider_pos_13,xai,pos-unicomp,café,"[""text""]"
dt_provider_pos_14,xiaomi_mimo,pos-emoji,emoji??,"[""text""]"
dt_provider_pos_15,zai,pos-zw,zw​text,"[""text""]"
dt_provider_pos_16,anthropic,pos-tag1,pos-tag1,"[""text""]"
dt_provider_pos_17,chatgpt,pos-tag3,pos-tag3,"[""text"",""chat"",""code""]"
dt_provider_pos_18,cursor,pos-tagdup,pos-tagdup,"[""text"",""text""]"
dt_provider_pos_19,dashscope,pos-tagspace,pos-tagspace,"[""text with space""]"
dt_provider_pos_20,deepseek,pos-url,pos-url,"[""text""]"
dt_provider_pos_21,gemini,pos-punct,pos-punct,"[""text""]"
dt_provider_pos_22,anthropic,mid,disp_min,"[""text""]"
dt_provider_pos_23,chatgpt,normal-model-id-123,disp_normal,"[""text""]"
dt_provider_pos_24,cursor,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,disp_64,"[""text""]"
dt_provider_pos_25,dashscope,mid-dn3,d,"[""text""]"
dt_provider_pos_26,deepseek,mid-dn4,Normal Display Name,"[""text""]"
dt_provider_pos_27,gemini,mid-dn5,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,"[""text""]"
dt_provider_pos_28,groq,mid-tag6,disp-tag6,"[""chat""]"
dt_provider_pos_29,minimax,mid-tag7,disp-tag7,"[""code""]"
dt_provider_pos_30,moonshot,mid-tag8,disp-tag8,"[""text"",""chat"",""code"",""vision""]"
dt_provider_pos_31,ollama,mid-tag9,disp-tag9,"[""tag-with-dash""]"
dt_provider_pos_32,openai,mid-tag10,disp-tag10,"[""TAG_UPPER""]"
dt_provider_pos_33,openrouter,model-中文,display-中文,"[""text""]"
dt_provider_pos_34,xai,model-日本語,display-日本語,"[""text""]"
